Provincia;Municipio;Código Unidad Poblacional;CUP;COD;Unidad Poblacional;field_6;Poblacion_Total;Poblacion
28 Madrid;129 San Agustín del Guadalix;"701";"701";"1290701";RASO (EL);NUC;"0";0
28 Madrid;129 San Agustín del Guadalix;"801";"801";"1290801";SIMA (LA);NUC;"0";0
28 Madrid;129 San Agustín del Guadalix;"901";"901";"1290901";VALDELAGUA;NUC;"509";509
28 Madrid;130 San Fernando de Henares;"201";"201";"1300201";SAN FERNANDO DE HENARES;NUC;"38905";38905
28 Madrid;130 San Fernando de Henares;"801";"801";"1300801";POLÍGONO DE SAN FERNANDO DE HENARES;NUC;"11";11
28 Madrid;130 San Fernando de Henares;"1001";"1001";"1301001";SOTO DE ALDOVEA;NUC;"0";0
28 Madrid;130 San Fernando de Henares;"1301";"1301";"1301301";CASTELLANAS (LAS);NUC;"14";14
28 Madrid;131 San Lorenzo de El Escorial;"101";"101";"1310101";SANTA CRUZ DEL VALLE DE LOS CAÍDOS;NUC;"14";14
28 Madrid;131 San Lorenzo de El Escorial;"102";"102";"1310102";VALLE DE LOS CAIDOS;NUC;"18";18
28 Madrid;131 San Lorenzo de El Escorial;"201";"201";"1310201";SAN LORENZO DE EL ESCORIAL;NUC;"16788";16788
28 Madrid;131 San Lorenzo de El Escorial;"401";"401";"1310401";HOSPITAL;NUC;"0";0
28 Madrid;131 San Lorenzo de El Escorial;"501";"501";"1310501";SANTA MARÍA DEL BUEN AIRE;NUC;"0";0
28 Madrid;131 San Lorenzo de El Escorial;"901";"901";"1310901";CAMPING ESCORIAL;NUC;"0";0
28 Madrid;131 San Lorenzo de El Escorial;"1001";"1001";"1311001";PIZARRA (LA);NUC;"1916";1916
28 Madrid;132 San Martín de la Vega;"401";"401";"1320401";AIMAYR;NUC;"3";3
28 Madrid;132 San Martín de la Vega;"501";"501";"1320501";POBLADO DE ABAJO;NUC;"36";36
28 Madrid;132 San Martín de la Vega;"502";"502";"1320502";POBLADO DE ARRIBA;NUC;"122";122
28 Madrid;132 San Martín de la Vega;"701";"701";"1320701";SAN MARTÍN DE LA VEGA;NUC;"19928";19928
28 Madrid;132 San Martín de la Vega;"901";"901";"1320901";VEGA DEL PINGARRON;NUC;"66";66
28 Madrid;132 San Martín de la Vega;"1001";"1001";"1321001";VALLEQUILLAS NORTE;NUC;"343";343
28 Madrid;132 San Martín de la Vega;"1002";"1002";"1321002";VALLEQUILLAS SUR;NUC;"58";58
28 Madrid;133 San Martín de Valdeiglesias;"101";"101";"1330101";SAN RAMÓN;NUC;"157";157
28 Madrid;133 San Martín de Valdeiglesias;"201";"201";"1330201";COSTA DE MADRID;NUC;"245";245
28 Madrid;133 San Martín de Valdeiglesias;"301";"301";"1330301";JAVACRUZ;NUC;"200";200
28 Madrid;133 San Martín de Valdeiglesias;"401";"401";"1330401";SAN MARTÍN DE VALDEIGLESIAS;NUC;"8375";8375
28 Madrid;134 San Sebastián de los Reyes;"101";"101";"1340101";CIUDALCAMPO;NUC;"2660";2660
28 Madrid;134 San Sebastián de los Reyes;"201";"201";"1340201";FUENTE DEL FRESNO;NUC;"2614";2614
28 Madrid;134 San Sebastián de los Reyes;"301";"301";"1340301";CLUB DE CAMPO;NUC;"3012";3012
28 Madrid;134 San Sebastián de los Reyes;"401";"401";"1340401";RACE;NUC;"131";131
28 Madrid;134 San Sebastián de los Reyes;"501";"501";"1340501";SAN SEBASTIÁN DE LOS REYES;NUC;"85812";85812
28 Madrid;134 San Sebastián de los Reyes;"801";"801";"1340801";GRANJILLA (LA);NUC;"407";407
28 Madrid;135 Santa María de la Alameda;"101";"101";"1350101";ESTACIÓN (LA);NUC;"829";829
28 Madrid;135 Santa María de la Alameda;"201";"201";"1350201";HERRERAS (LAS);NUC;"11";11
28 Madrid;135 Santa María de la Alameda;"301";"301";"1350301";HOYA (LA);NUC;"20";20
28 Madrid;135 Santa María de la Alameda;"501";"501";"1350501";NAVALESPINO;NUC;"55";55
28 Madrid;135 Santa María de la Alameda;"601";"601";"1350601";PARADILLA (LA);NUC;"30";30
28 Madrid;135 Santa María de la Alameda;"801";"801";"1350801";PIMPOLLAR (EL);NUC;"159";159
28 Madrid;135 Santa María de la Alameda;"901";"901";"1350901";ROBLEDONDO;NUC;"241";241
28 Madrid;135 Santa María de la Alameda;"1001";"1001";"1351001";SANTA MARÍA DE LA ALAMEDA;NUC;"120";120
28 Madrid;135 Santa María de la Alameda;"1101";"1101";"1351101";CEREDA (LA);NUC;"0";0
28 Madrid;135 Santa María de la Alameda;"1301";"1301";"1351301";MOLINO NUEVO;NUC;"9";9
28 Madrid;135 Santa María de la Alameda;"1401";"1401";"1351401";UMBRÍA DE LOS GALLEGOS;NUC;"13";13
28 Madrid;136 Santorcaz;"101";"101";"1360101";ESTACIÓN TRANSMISORA MARINA;NUC;"32";32
28 Madrid;136 Santorcaz;"201";"201";"1360201";SANTORCAZ;NUC;"949";949
28 Madrid;"137 Santos de la Humosa, Los";"101";"101";"1370101";SANTOS DE LA HUMOSA (LOS);NUC;"2793";2793
28 Madrid;"138 Serna del Monte, La";"101";"101";"1380101";SERNA DEL MONTE (LA);NUC;"77";77
28 Madrid;140 Serranillos del Valle;"101";"101";"1400101";SERRANILLOS DEL VALLE;NUC;"4543";4543
28 Madrid;140 Serranillos del Valle;"102";"102";"1400102";URBANIZACIÓN LOS LLANOS;NUC;"75";75
28 Madrid;140 Serranillos del Valle;"301";"301";"1400301";CARRASCAL (EL);NUC;"0";0
28 Madrid;141 Sevilla la Nueva;"101";"101";"1410101";CORTIJOS (LOS);NUC;"439";439
28 Madrid;141 Sevilla la Nueva;"402";"402";"1410402";MANANTIALES I (LOS);NUC;"780";780
28 Madrid;141 Sevilla la Nueva;"403";"403";"1410403";MANANTIALES II (LOS);NUC;"309";309
28 Madrid;141 Sevilla la Nueva;"601";"601";"1410601";SEVILLA LA NUEVA;NUC;"8108";8108
28 Madrid;141 Sevilla la Nueva;"701";"701";"1410701";VALDELAGUA;NUC;"43";43
28 Madrid;143 Somosierra;"101";"101";"1430101";SOMOSIERRA;NUC;"98";98
28 Madrid;144 Soto del Real;"101";"101";"1440101";SOTO DEL REAL;NUC;"8324";8324
28 Madrid;144 Soto del Real;"201";"201";"1440201";RANCAJALES (LOS);NUC;"939";939
28 Madrid;144 Soto del Real;"301";"301";"1440301";FRESNEDA-DEHESA BOYAL-CAMPING LA FRESNEDA (LA);NUC;"33";33
28 Madrid;144 Soto del Real;"401";"401";"1440401";CIERRO DE SAN BARTOLOMÉ;NUC;"3";3
28 Madrid;145 Talamanca de Jarama;"401";"401";"1450401";TALAMANCA DE JARAMA;NUC;"4186";4186
28 Madrid;145 Talamanca de Jarama;"501";"501";"1450501";CARRACALDERAS;NUC;"17";17
28 Madrid;145 Talamanca de Jarama;"601";"601";"1450601";DUNAS (LAS);NUC;"16";16
28 Madrid;145 Talamanca de Jarama;"801";"801";"1450801";PERDIGONES (LOS);NUC;"24";24
28 Madrid;145 Talamanca de Jarama;"802";"802";"1450802";TESORO (EL);NUC;"0";0
28 Madrid;146 Tielmes;"101";"101";"1460101";TIELMES;NUC;"2789";2789
28 Madrid;147 Titulcia;"101";"101";"1470101";TITULCIA;NUC;"1351";1351
28 Madrid;148 Torrejón de Ardoz;"101";"101";"1480101";TORREJÓN DE ARDOZ;NUC;"139715";139715
28 Madrid;148 Torrejón de Ardoz;"201";"201";"1480201";BASE AÉREA;NUC;"0";0
28 Madrid;148 Torrejón de Ardoz;"202";"202";"1480202";I.N.T.A.;NUC;"0";0
28 Madrid;148 Torrejón de Ardoz;"401";"401";"1480401";CASTILLO (EL);NUC;"779";779
28 Madrid;149 Torrejón de la Calzada;"101";"101";"1490101";TORREJÓN DE LA CALZADA;NUC;"10248";10248
28 Madrid;149 Torrejón de la Calzada;"301";"301";"1490301";VACIASILOS;NUC;"40";40
28 Madrid;150 Torrejón de Velasco;"101";"101";"1500101";TORREJÓN DE VELASCO;NUC;"4784";4784
28 Madrid;151 Torrelaguna;"102";"102";"1510102";TORRELAGUNA;NUC;"4929";4929
28 Madrid;151 Torrelaguna;"201";"201";"1510201";TOMILLARES (LOS);NUC;"15";15
28 Madrid;152 Torrelodones;"201";"201";"1520201";BERZOSILLA (LA);NUC;"537";537
28 Madrid;152 Torrelodones;"401";"401";"1520401";ESTACIÓN (LA);NUC;"5773";5773
28 Madrid;152 Torrelodones;"601";"601";"1520601";GASCO (EL);NUC;"355";355
28 Madrid;152 Torrelodones;"1101";"1101";"1521101";PEÑASCALES (LOS);NUC;"4686";4686
28 Madrid;152 Torrelodones;"1201";"1201";"1521201";ROBLES (LOS);NUC;"1525";1525
28 Madrid;152 Torrelodones;"1401";"1401";"1521401";TORRELODONES;NUC;"8565";8565
28 Madrid;152 Torrelodones;"1501";"1501";"1521501";BOMBEROS (LOS);NUC;"1261";1261
28 Madrid;152 Torrelodones;"1601";"1601";"1521601";PRADOS (LOS);NUC;"2503";2503
28 Madrid;153 Torremocha de Jarama;"201";"201";"1530201";TORREMOCHA DE JARAMA;NUC;"673";673
28 Madrid;153 Torremocha de Jarama;"401";"401";"1530401";CERRADA (LA);NUC;"22";22
28 Madrid;153 Torremocha de Jarama;"501";"501";"1530501";RETIRO DE TORREMOCHA (EL);NUC;"341";341
28 Madrid;153 Torremocha de Jarama;"601";"601";"1530601";TOMILLARES (LOS);NUC;"75";75
28 Madrid;154 Torres de la Alameda;"101";"101";"1540101";MARIBLANCA;NUC;"86";86
28 Madrid;154 Torres de la Alameda;"201";"201";"1540201";TORRES DE LA ALAMEDA;NUC;"7564";7564
28 Madrid;155 Valdaracete;"101";"101";"1550101";VALDARACETE;NUC;"613";613
28 Madrid;156 Valdeavero;"101";"101";"1560101";VALDEAVERO;NUC;"1377";1377
28 Madrid;156 Valdeavero;"201";"201";"1560201";CARDOSA (LA);NUC;"432";432
28 Madrid;157 Valdelaguna;"101";"101";"1570101";VALDELAGUNA;NUC;"1065";1065
28 Madrid;158 Valdemanco;"101";"101";"1580101";VALDEMANCO;NUC;"676";676
28 Madrid;158 Valdemanco;"201";"201";"1580201";CERRO MATALLERA;NUC;"329";329
28 Madrid;158 Valdemanco;"301";"301";"1580301";HOYA (LA);NUC;"55";55
